,species,mass,molecular_weight,GC_content
0,,28.0,3268.826800000001,48.38145231846019
1,,13.4,3268.826800000001,49.69378827646544
2,,2.8,3256.7731000000013,51.181102362204726
3,,4.5,3256.7731000000013,50.91863517060367
4,,4.25,3256.7731000000013,50.83114610673666
5,,1.6,3298.852800000001,49.25634295713036
6,,4.6,3268.826800000001,49.08136482939633
7,,4.1,3268.826800000001,47.76902887139108
8,,6.1,3292.934400000001,47.15660542432196
9,,3.2,3256.7731000000013,48.29396325459317
10,,4.75,3256.7731000000013,49.25634295713036
11,,3.4,3256.7731000000013,48.20647419072616
